value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
oz can whole tomatoes,8,8,0.00014619,1.0,oz can whole tomatoes | oz can whole tomatoes | oz can whole tomatoes | oz can whole tomatoes | oz can whole tomatoes
coarse sanding sugar,8,8,0.00014619,1.0,coarse sanding sugar | coarse sanding sugar | coarse sanding sugar | coarse sanding sugar | coarse sanding sugar
matsutake mushrooms,8,8,0.00014619,1.0,matsutake mushrooms | matsutake mushrooms | matsutake mushrooms | matsutake mushrooms | matsutake mushrooms
thousand island dressing,8,8,0.00014619,1.0,thousand island dressing | thousand island dressing | thousand island dressing | thousand island dressing | thousand island dressing
french sandwich rolls,8,8,0.00014619,1.0,french sandwich rolls | french sandwich rolls | french sandwich rolls | french sandwich rolls | french sandwich rolls
flatout flatbreads,8,8,0.00014619,1.0,flatout flatbreads | flatout flatbreads | flatout flatbreads | flatout flatbreads | flatout flatbreads
green cardamom 2,8,8,0.00014619,1.0,green cardamom 2 | green cardamom 2 | green cardamom 2 | green cardamom 2 | green cardamom 2
onion tops,8,8,0.00014619,1.0,onion tops | onion tops | onion tops | onion tops | onion tops
pint blueberries,8,8,0.00014619,1.0,pint blueberries | pint blueberries | pint blueberries | pint blueberries | pint blueberries
whole allspice berries,8,8,0.00014619,1.0,whole allspice berries | whole allspice berries | whole allspice berries | whole allspice berries | whole allspice berries
tri tip,8,8,0.00014619,1.0,tri tip | tri tip | tri tip | tri tip | tri tip
flour for dusting,8,8,0.00014619,1.0,flour for dusting | flour for dusting | flour for dusting | flour for dusting | flour for dusting
ranch style beans,8,8,0.00014619,1.0,ranch style beans | ranch style beans | ranch style beans | ranch style beans | ranch style beans
fischfilet,8,8,0.00014619,1.0,fischfilet | fischfilet | fischfilet | fischfilet | fischfilet
oz can black beans,8,8,0.00014619,1.0,oz can black beans | oz can black beans | oz can black beans | oz can black beans | oz can black beans
butterscotch chips,8,8,0.00014619,1.0,butterscotch chips | butterscotch chips | butterscotch chips | butterscotch chips | butterscotch chips
plus 1 2 cup sugar,8,8,0.00014619,1.0,plus 1 2 cup sugar | plus 1 2 cup sugar | plus 1 2 cup sugar | plus 1 2 cup sugar | plus 1 2 cup sugar
ham steak,8,8,0.00014619,1.0,ham steak | ham steak | ham steak | ham steak | ham steak
organic coconut oil,8,8,0.00014619,1.0,organic coconut oil | organic coconut oil | organic coconut oil | organic coconut oil | organic coconut oil
loosely parsley leaves,8,8,0.00014619,1.0,loosely parsley leaves | loosely parsley leaves | loosely parsley leaves | loosely parsley leaves | loosely parsley leaves
tomatoes with green chilies,8,8,0.00014619,1.0,tomatoes with green chilies | tomatoes with green chilies | tomatoes with green chilies | tomatoes with green chilies | tomatoes with green chilies
about 1 2 tsp salt,8,8,0.00014619,1.0,about 1 2 tsp salt | about 1 2 tsp salt | about 1 2 tsp salt | about 1 2 tsp salt | about 1 2 tsp salt
reduced sodium chicken stock,8,8,0.00014619,1.0,reduced sodium chicken stock | reduced sodium chicken stock | reduced sodium chicken stock | reduced sodium chicken stock | reduced sodium chicken stock
amaretto liqueur,8,8,0.00014619,1.0,amaretto liqueur | amaretto liqueur | amaretto liqueur | amaretto liqueur | amaretto liqueur
old el pasotm enchilada sauce,8,8,0.00014619,1.0,old el pasotm enchilada sauce | old el pasotm enchilada sauce | old el pasotm enchilada sauce | old el pasotm enchilada sauce | old el pasotm enchilada sauce
kikkoman soy sauce,8,8,0.00014619,1.0,kikkoman soy sauce | kikkoman soy sauce | kikkoman soy sauce | kikkoman soy sauce | kikkoman soy sauce
all purpose potatoes,8,8,0.00014619,1.0,all purpose potatoes | all purpose potatoes | all purpose potatoes | all purpose potatoes | all purpose potatoes
taco toppings,8,8,0.00014619,1.0,taco toppings | taco toppings | taco toppings | taco toppings | taco toppings
whole garlic cloves,8,8,0.00014619,1.0,whole garlic cloves | whole garlic cloves | whole garlic cloves | whole garlic cloves | whole garlic cloves
pint cherry or grape tomatoes,8,8,0.00014619,1.0,pint cherry or grape tomatoes | pint cherry or grape tomatoes | pint cherry or grape tomatoes | pint cherry or grape tomatoes | pint cherry or grape tomatoes
oz can tomato sauce,8,8,0.00014619,1.0,oz can tomato sauce | oz can tomato sauce | oz can tomato sauce | oz can tomato sauce | oz can tomato sauce
aonori,8,8,0.00014619,1.0,aonori | aonori | aonori | aonori | aonori
back bacon rashers,8,8,0.00014619,1.0,back bacon rashers | back bacon rashers | back bacon rashers | back bacon rashers | back bacon rashers
oz can chickpeas,8,8,0.00014619,1.0,oz can chickpeas | oz can chickpeas | oz can chickpeas | oz can chickpeas | oz can chickpeas
cashew milk,8,8,0.00014619,1.0,cashew milk | cashew milk | cashew milk | cashew milk | cashew milk
oil 1 tbsp,8,8,0.00014619,1.0,oil 1 tbsp | oil 1 tbsp | oil 1 tbsp | oil 1 tbsp | oil 1 tbsp
garam masala 1 tsp,8,8,0.00014619,1.0,garam masala 1 tsp | garam masala 1 tsp | garam masala 1 tsp | garam masala 1 tsp | garam masala 1 tsp
fuji apples,8,8,0.00014619,1.0,fuji apples | fuji apples | fuji apples | fuji apples | fuji apples
tbs thyme,8,8,0.00014619,1.0,tbs thyme | tbs thyme | tbs thyme | tbs thyme | tbs thyme
whole garam masala,8,8,0.00014619,1.0,whole garam masala | whole garam masala | whole garam masala | whole garam masala | whole garam masala
serrano or jalapeno chiles,8,8,0.00014619,1.0,serrano or jalapeno chiles | serrano or jalapeno chiles | serrano or jalapeno chiles | serrano or jalapeno chiles | serrano or jalapeno chiles
jalapeno chili,8,8,0.00014619,1.0,jalapeno chili | jalapeno chili | jalapeno chili | jalapeno chili | jalapeno chili
burrata,8,8,0.00014619,1.0,burrata | burrata | burrata | burrata | burrata
lager,8,8,0.00014619,1.0,lager | lager | lager | lager | lager
french dressing,8,8,0.00014619,1.0,french dressing | french dressing | french dressing | french dressing | french dressing
candy,8,8,0.00014619,1.0,candy | candy | candy | candy | candy
baby back pork ribs,8,8,0.00014619,1.0,baby back pork ribs | baby back pork ribs | baby back pork ribs | baby back pork ribs | baby back pork ribs
cholula hot sauce,8,8,0.00014619,1.0,cholula hot sauce | cholula hot sauce | cholula hot sauce | cholula hot sauce | cholula hot sauce
khoa,8,8,0.00014619,1.0,khoa | khoa | khoa | khoa | khoa
pancake syrup,8,8,0.00014619,1.0,pancake syrup | pancake syrup | pancake syrup | pancake syrup | pancake syrup
raspberry preserves,8,8,0.00014619,1.0,raspberry preserves | raspberry preserves | raspberry preserves | raspberry preserves | raspberry preserves
ikura,8,8,0.00014619,1.0,ikura | ikura | ikura | ikura | ikura
anaheim chiles,8,8,0.00014619,1.0,anaheim chiles | anaheim chiles | anaheim chiles | anaheim chiles | anaheim chiles
knorr fiesta sidestm mexican rice,8,8,0.00014619,1.0,knorr fiesta sidestm mexican rice | knorr fiesta sidestm mexican rice | knorr fiesta sidestm mexican rice | knorr fiesta sidestm mexican rice | knorr fiesta sidestm mexican rice
olive oil or butter,8,8,0.00014619,1.0,olive oil or butter | olive oil or butter | olive oil or butter | olive oil or butter | olive oil or butter
corn salsa,8,8,0.00014619,1.0,corn salsa | corn salsa | corn salsa | corn salsa | corn salsa
tbs tarragon,8,8,0.00014619,1.0,tbs tarragon | tbs tarragon | tbs tarragon | tbs tarragon | tbs tarragon
watercress leaves,8,8,0.00014619,1.0,watercress leaves | watercress leaves | watercress leaves | watercress leaves | watercress leaves
prepar pesto,8,8,0.00014619,1.0,prepar pesto | prepar pesto | prepar pesto | prepar pesto | prepar pesto
curly parsley,8,8,0.00014619,1.0,curly parsley | curly parsley | curly parsley | curly parsley | curly parsley
erbsen,8,8,0.00014619,1.0,erbsen | erbsen | erbsen | erbsen | erbsen
soya bean,8,8,0.00014619,1.0,soya bean | soya bean | soya bean | soya bean | soya bean
smoked sea salt,8,8,0.00014619,1.0,smoked sea salt | smoked sea salt | smoked sea salt | smoked sea salt | smoked sea salt
thick cut bacon slices,8,8,0.00014619,1.0,thick cut bacon slices | thick cut bacon slices | thick cut bacon slices | thick cut bacon slices | thick cut bacon slices
fine sanding sugar,8,8,0.00014619,1.0,fine sanding sugar | fine sanding sugar | fine sanding sugar | fine sanding sugar | fine sanding sugar
mango powder,8,8,0.00014619,1.0,mango powder | mango powder | mango powder | mango powder | mango powder
poha,8,8,0.00014619,1.0,poha | poha | poha | poha | poha
onion thinly,8,8,0.00014619,1.0,onion thinly | onion thinly | onion thinly | onion thinly | onion thinly
and chicken,8,8,0.00014619,1.0,and chicken | and chicken | and chicken | and chicken | and chicken
regular tofu,8,8,0.00014619,1.0,regular tofu | regular tofu | regular tofu | regular tofu | regular tofu
a pinch of sea salt,8,8,0.00014619,1.0,a pinch of sea salt | a pinch of sea salt | a pinch of sea salt | a pinch of sea salt | a pinch of sea salt
coarse bread crumbs,8,8,0.00014619,1.0,coarse bread crumbs | coarse bread crumbs | coarse bread crumbs | coarse bread crumbs | coarse bread crumbs
raw pistachios,8,8,0.00014619,1.0,raw pistachios | raw pistachios | raw pistachios | raw pistachios | raw pistachios
el kapern,8,8,0.00014619,1.0,el kapern | el kapern | el kapern | el kapern | el kapern
whole wheat penne,8,8,0.00014619,1.0,whole wheat penne | whole wheat penne | whole wheat penne | whole wheat penne | whole wheat penne
lemon twists,8,8,0.00014619,1.0,lemon twists | lemon twists | lemon twists | lemon twists | lemon twists
gingersnaps,8,8,0.00014619,1.0,gingersnaps | gingersnaps | gingersnaps | gingersnaps | gingersnaps
sea or kosher salt,8,8,0.00014619,1.0,sea or kosher salt | sea or kosher salt | sea or kosher salt | sea or kosher salt | sea or kosher salt
oscar mayer bacon,8,8,0.00014619,1.0,oscar mayer bacon | oscar mayer bacon | oscar mayer bacon | oscar mayer bacon | oscar mayer bacon
tart,8,8,0.00014619,1.0,tart | tart | tart | tart | tart
handvoll basilikum,8,8,0.00014619,1.0,handvoll basilikum | handvoll basilikum | handvoll basilikum | handvoll basilikum | handvoll basilikum
gluten free rolled oats,8,8,0.00014619,1.0,gluten free rolled oats | gluten free rolled oats | gluten free rolled oats | gluten free rolled oats | gluten free rolled oats
red tomato,8,8,0.00014619,1.0,red tomato | red tomato | red tomato | red tomato | red tomato
bone in chicken thigh,8,8,0.00014619,1.0,bone in chicken thigh | bone in chicken thigh | bone in chicken thigh | bone in chicken thigh | bone in chicken thigh
char siu sauce,8,8,0.00014619,1.0,char siu sauce | char siu sauce | char siu sauce | char siu sauce | char siu sauce
red chili pepper flakes,8,8,0.00014619,1.0,red chili pepper flakes | red chili pepper flakes | red chili pepper flakes | red chili pepper flakes | red chili pepper flakes
white fleshed fish,8,8,0.00014619,1.0,white fleshed fish | white fleshed fish | white fleshed fish | white fleshed fish | white fleshed fish
jar marinated artichoke hearts,8,8,0.00014619,1.0,jar marinated artichoke hearts | jar marinated artichoke hearts | jar marinated artichoke hearts | jar marinated artichoke hearts | jar marinated artichoke hearts
dry red wine or beef broth,8,8,0.00014619,1.0,dry red wine or beef broth | dry red wine or beef broth | dry red wine or beef broth | dry red wine or beef broth | dry red wine or beef broth
italian style seasoning,8,8,0.00014619,1.0,italian style seasoning | italian style seasoning | italian style seasoning | italian style seasoning | italian style seasoning
tomatoes with basil,8,8,0.00014619,1.0,tomatoes with basil | tomatoes with basil | tomatoes with basil | tomatoes with basil | tomatoes with basil
hot chili flakes,8,8,0.00014619,1.0,hot chili flakes | hot chili flakes | hot chili flakes | hot chili flakes | hot chili flakes
old bay seasoning tm,8,8,0.00014619,1.0,old bay seasoning tm | old bay seasoning tm | old bay seasoning tm | old bay seasoning tm | old bay seasoning tm
boiling hot water,8,8,0.00014619,1.0,boiling hot water | boiling hot water | boiling hot water | boiling hot water | boiling hot water
chicken 1 kg,8,8,0.00014619,1.0,chicken 1 kg | chicken 1 kg | chicken 1 kg | chicken 1 kg | chicken 1 kg
herdez salsa verde,8,8,0.00014619,1.0,herdez salsa verde | herdez salsa verde | herdez salsa verde | herdez salsa verde | herdez salsa verde
pancake mix,8,8,0.00014619,1.0,pancake mix | pancake mix | pancake mix | pancake mix | pancake mix
maple flavoring,8,8,0.00014619,1.0,maple flavoring | maple flavoring | maple flavoring | maple flavoring | maple flavoring
broiler fryer chicken,8,8,0.00014619,1.0,broiler fryer chicken | broiler fryer chicken | broiler fryer chicken | broiler fryer chicken | broiler fryer chicken
pickled carrots,8,8,0.00014619,1.0,pickled carrots | pickled carrots | pickled carrots | pickled carrots | pickled carrots
italian bread crumbs,8,8,0.00014619,1.0,italian bread crumbs | italian bread crumbs | italian bread crumbs | italian bread crumbs | italian bread crumbs
loin pork chops,8,8,0.00014619,1.0,loin pork chops | loin pork chops | loin pork chops | loin pork chops | loin pork chops
applewood smoked bacon slices,8,8,0.00014619,1.0,applewood smoked bacon slices | applewood smoked bacon slices | applewood smoked bacon slices | applewood smoked bacon slices | applewood smoked bacon slices
drops red food coloring,8,8,0.00014619,1.0,drops red food coloring | drops red food coloring | drops red food coloring | drops red food coloring | drops red food coloring
country style dijon mustard,8,8,0.00014619,1.0,country style dijon mustard | country style dijon mustard | country style dijon mustard | country style dijon mustard | country style dijon mustard
kumquats,8,8,0.00014619,1.0,kumquats | kumquats | kumquats | kumquats | kumquats
cm piece of ginger,8,8,0.00014619,1.0,cm piece of ginger | cm piece of ginger | cm piece of ginger | cm piece of ginger | cm piece of ginger
black cod fillets,8,8,0.00014619,1.0,black cod fillets | black cod fillets | black cod fillets | black cod fillets | black cod fillets
raspberry sauce,8,8,0.00014619,1.0,raspberry sauce | raspberry sauce | raspberry sauce | raspberry sauce | raspberry sauce
canned chicken broth,8,8,0.00014619,1.0,canned chicken broth | canned chicken broth | canned chicken broth | canned chicken broth | canned chicken broth
vegetable stock powder,8,8,0.00014619,1.0,vegetable stock powder | vegetable stock powder | vegetable stock powder | vegetable stock powder | vegetable stock powder
vidalia onions,8,8,0.00014619,1.0,vidalia onions | vidalia onions | vidalia onions | vidalia onions | vidalia onions
sour cherries,8,8,0.00014619,1.0,sour cherries | sour cherries | sour cherries | sour cherries | sour cherries
c all purpose flour,8,8,0.00014619,1.0,c all purpose flour | c all purpose flour | c all purpose flour | c all purpose flour | c all purpose flour
plus 3 tablespoons extra virgin olive oil,8,8,0.00014619,1.0,plus 3 tablespoons extra virgin olive oil | plus 3 tablespoons extra virgin olive oil | plus 3 tablespoons extra virgin olive oil | plus 3 tablespoons extra virgin olive oil | plus 3 tablespoons extra virgin olive oil
thin deli ham,8,8,0.00014619,1.0,thin deli ham | thin deli ham | thin deli ham | thin deli ham | thin deli ham
garnish cilantro,8,8,0.00014619,1.0,garnish cilantro | garnish cilantro | garnish cilantro | garnish cilantro | garnish cilantro
dry marsala,8,8,0.00014619,1.0,dry marsala | dry marsala | dry marsala | dry marsala | dry marsala
vegetarian oyster sauce,8,8,0.00014619,1.0,vegetarian oyster sauce | vegetarian oyster sauce | vegetarian oyster sauce | vegetarian oyster sauce | vegetarian oyster sauce
beet greens,8,8,0.00014619,1.0,beet greens | beet greens | beet greens | beet greens | beet greens
japanese bread crumbs,8,8,0.00014619,1.0,japanese bread crumbs | japanese bread crumbs | japanese bread crumbs | japanese bread crumbs | japanese bread crumbs
seitan,8,8,0.00014619,1.0,seitan | seitan | seitan | seitan | seitan
cabbage and carrot coleslaw,8,8,0.00014619,1.0,cabbage and carrot coleslaw | cabbage and carrot coleslaw | cabbage and carrot coleslaw | cabbage and carrot coleslaw | cabbage and carrot coleslaw
white kidney beans,8,8,0.00014619,1.0,white kidney beans | white kidney beans | white kidney beans | white kidney beans | white kidney beans
rindfleisch,8,8,0.00014619,1.0,rindfleisch | rindfleisch | rindfleisch | rindfleisch | rindfleisch
romaine hearts,8,8,0.00014619,1.0,romaine hearts | romaine hearts | romaine hearts | romaine hearts | romaine hearts
good seasons italian dressing mix,8,8,0.00014619,1.0,good seasons italian dressing mix | good seasons italian dressing mix | good seasons italian dressing mix | good seasons italian dressing mix | good seasons italian dressing mix
sushi nori,8,8,0.00014619,1.0,sushi nori | sushi nori | sushi nori | sushi nori | sushi nori
dry lasagna noodles,8,8,0.00014619,1.0,dry lasagna noodles | dry lasagna noodles | dry lasagna noodles | dry lasagna noodles | dry lasagna noodles
anise seeds,8,8,0.00014619,1.0,anise seeds | anise seeds | anise seeds | anise seeds | anise seeds
parmaschinken,8,8,0.00014619,1.0,parmaschinken | parmaschinken | parmaschinken | parmaschinken | parmaschinken
tl oregano,8,8,0.00014619,1.0,tl oregano | tl oregano | tl oregano | tl oregano | tl oregano
kamaboko,8,8,0.00014619,1.0,kamaboko | kamaboko | kamaboko | kamaboko | kamaboko
etwas mehl,8,8,0.00014619,1.0,etwas mehl | etwas mehl | etwas mehl | etwas mehl | etwas mehl
el basilikum,8,8,0.00014619,1.0,el basilikum | el basilikum | el basilikum | el basilikum | el basilikum
red bliss potatoes,8,8,0.00014619,1.0,red bliss potatoes | red bliss potatoes | red bliss potatoes | red bliss potatoes | red bliss potatoes
promise buttery spread,8,8,0.00014619,1.0,promise buttery spread | promise buttery spread | promise buttery spread | promise buttery spread | promise buttery spread
reduced calorie whipped topping,8,8,0.00014619,1.0,reduced calorie whipped topping | reduced calorie whipped topping | reduced calorie whipped topping | reduced calorie whipped topping | reduced calorie whipped topping
bread machine yeast,8,8,0.00014619,1.0,bread machine yeast | bread machine yeast | bread machine yeast | bread machine yeast | bread machine yeast
onions thinly,8,8,0.00014619,1.0,onions thinly | onions thinly | onions thinly | onions thinly | onions thinly
pretzels,8,8,0.00014619,1.0,pretzels | pretzels | pretzels | pretzels | pretzels
el petersilie,8,8,0.00014619,1.0,el petersilie | el petersilie | el petersilie | el petersilie | el petersilie
roasted red bell pepper,8,8,0.00014619,1.0,roasted red bell pepper | roasted red bell pepper | roasted red bell pepper | roasted red bell pepper | roasted red bell pepper
pork bones,8,8,0.00014619,1.0,pork bones | pork bones | pork bones | pork bones | pork bones
lower sodium beef broth,8,8,0.00014619,1.0,lower sodium beef broth | lower sodium beef broth | lower sodium beef broth | lower sodium beef broth | lower sodium beef broth
ed cherry tomatoes,8,8,0.00014619,1.0,ed cherry tomatoes | ed cherry tomatoes | ed cherry tomatoes | ed cherry tomatoes | ed cherry tomatoes
shrimp and deveined,8,8,0.00014619,1.0,shrimp and deveined | shrimp and deveined | shrimp and deveined | shrimp and deveined | shrimp and deveined
ed strawberries,8,8,0.00014619,1.0,ed strawberries | ed strawberries | ed strawberries | ed strawberries | ed strawberries
carrot juice,8,8,0.00014619,1.0,carrot juice | carrot juice | carrot juice | carrot juice | carrot juice
ground chipotle pepper,8,8,0.00014619,1.0,ground chipotle pepper | ground chipotle pepper | ground chipotle pepper | ground chipotle pepper | ground chipotle pepper
olive oil for frying,8,8,0.00014619,1.0,olive oil for frying | olive oil for frying | olive oil for frying | olive oil for frying | olive oil for frying
walnuts or pecans,8,8,0.00014619,1.0,walnuts or pecans | walnuts or pecans | walnuts or pecans | walnuts or pecans | walnuts or pecans
daisy sour cream,8,8,0.00014619,1.0,daisy sour cream | daisy sour cream | daisy sour cream | daisy sour cream | daisy sour cream
cutlet,8,8,0.00014619,1.0,cutlet | cutlet | cutlet | cutlet | cutlet
el essig,8,8,0.00014619,1.0,el essig | el essig | el essig | el essig | el essig
thin pizza crust,8,8,0.00014619,1.0,thin pizza crust | thin pizza crust | thin pizza crust | thin pizza crust | thin pizza crust
olive oil for brushing,8,8,0.00014619,1.0,olive oil for brushing | olive oil for brushing | olive oil for brushing | olive oil for brushing | olive oil for brushing
cardamom 2,8,8,0.00014619,1.0,cardamom 2 | cardamom 2 | cardamom 2 | cardamom 2 | cardamom 2
salt 1 tsp,8,8,0.00014619,1.0,salt 1 tsp | salt 1 tsp | salt 1 tsp | salt 1 tsp | salt 1 tsp
turmeric powder 14 tsp,8,8,0.00014619,1.0,turmeric powder 14 tsp | turmeric powder 14 tsp | turmeric powder 14 tsp | turmeric powder 14 tsp | turmeric powder 14 tsp
garam masala powder 12 tsp,8,8,0.00014619,1.0,garam masala powder 12 tsp | garam masala powder 12 tsp | garam masala powder 12 tsp | garam masala powder 12 tsp | garam masala powder 12 tsp
hot pepper flakes,8,8,0.00014619,1.0,hot pepper flakes | hot pepper flakes | hot pepper flakes | hot pepper flakes | hot pepper flakes
poblano chile peppers,8,8,0.00014619,1.0,poblano chile peppers | poblano chile peppers | poblano chile peppers | poblano chile peppers | poblano chile peppers
full fat plain yogurt,8,8,0.00014619,1.0,full fat plain yogurt | full fat plain yogurt | full fat plain yogurt | full fat plain yogurt | full fat plain yogurt
chinese cooking wine,8,8,0.00014619,1.0,chinese cooking wine | chinese cooking wine | chinese cooking wine | chinese cooking wine | chinese cooking wine
fine grain salt,8,8,0.00014619,1.0,fine grain salt | fine grain salt | fine grain salt | fine grain salt | fine grain salt
real maple syrup,8,8,0.00014619,1.0,real maple syrup | real maple syrup | real maple syrup | real maple syrup | real maple syrup
baby peas,8,8,0.00014619,1.0,baby peas | baby peas | baby peas | baby peas | baby peas
green chillies 2,8,8,0.00014619,1.0,green chillies 2 | green chillies 2 | green chillies 2 | green chillies 2 | green chillies 2
shelled green peas,8,8,0.00014619,1.0,shelled green peas | shelled green peas | shelled green peas | shelled green peas | shelled green peas
roast chicken,8,8,0.00014619,1.0,roast chicken | roast chicken | roast chicken | roast chicken | roast chicken
pork rind,8,8,0.00014619,1.0,pork rind | pork rind | pork rind | pork rind | pork rind
basilikum zum garnieren,8,8,0.00014619,1.0,basilikum zum garnieren | basilikum zum garnieren | basilikum zum garnieren | basilikum zum garnieren | basilikum zum garnieren
liquid egg whites,8,8,0.00014619,1.0,liquid egg whites | liquid egg whites | liquid egg whites | liquid egg whites | liquid egg whites
pickled okra,8,8,0.00014619,1.0,pickled okra | pickled okra | pickled okra | pickled okra | pickled okra
handful of basil leaves,8,8,0.00014619,1.0,handful of basil leaves | handful of basil leaves | handful of basil leaves | handful of basil leaves | handful of basil leaves
white poppy seeds,8,8,0.00014619,1.0,white poppy seeds | white poppy seeds | white poppy seeds | white poppy seeds | white poppy seeds
about 1 4 teaspoon salt,8,8,0.00014619,1.0,about 1 4 teaspoon salt | about 1 4 teaspoon salt | about 1 4 teaspoon salt | about 1 4 teaspoon salt | about 1 4 teaspoon salt
smooth natural peanut butter,8,8,0.00014619,1.0,smooth natural peanut butter | smooth natural peanut butter | smooth natural peanut butter | smooth natural peanut butter | smooth natural peanut butter
cm ginger,8,8,0.00014619,1.0,cm ginger | cm ginger | cm ginger | cm ginger | cm ginger
rome apple,8,8,0.00014619,1.0,rome apple | rome apple | rome apple | rome apple | rome apple
coriander leaves few,8,8,0.00014619,1.0,coriander leaves few | coriander leaves few | coriander leaves few | coriander leaves few | coriander leaves few
raw cacao powder,8,8,0.00014619,1.0,raw cacao powder | raw cacao powder | raw cacao powder | raw cacao powder | raw cacao powder
handful of coriander,8,8,0.00014619,1.0,handful of coriander | handful of coriander | handful of coriander | handful of coriander | handful of coriander
achiote paste,8,8,0.00014619,1.0,achiote paste | achiote paste | achiote paste | achiote paste | achiote paste
chilled heavy whipping cream,8,8,0.00014619,1.0,chilled heavy whipping cream | chilled heavy whipping cream | chilled heavy whipping cream | chilled heavy whipping cream | chilled heavy whipping cream
c heavy cream,8,8,0.00014619,1.0,c heavy cream | c heavy cream | c heavy cream | c heavy cream | c heavy cream
zest of 2 lemons,8,8,0.00014619,1.0,zest of 2 lemons | zest of 2 lemons | zest of 2 lemons | zest of 2 lemons | zest of 2 lemons
or peas,8,8,0.00014619,1.0,or peas | or peas | or peas | or peas | or peas
italian rolls,8,8,0.00014619,1.0,italian rolls | italian rolls | italian rolls | italian rolls | italian rolls
tamarind extract,8,8,0.00014619,1.0,tamarind extract | tamarind extract | tamarind extract | tamarind extract | tamarind extract
refrigerated pesto,8,8,0.00014619,1.0,refrigerated pesto | refrigerated pesto | refrigerated pesto | refrigerated pesto | refrigerated pesto
packchen vanillin zucker,8,8,0.00014619,1.0,packchen vanillin zucker | packchen vanillin zucker | packchen vanillin zucker | packchen vanillin zucker | packchen vanillin zucker
corncobs,8,8,0.00014619,1.0,corncobs | corncobs | corncobs | corncobs | corncobs
cornbread mix,8,8,0.00014619,1.0,cornbread mix | cornbread mix | cornbread mix | cornbread mix | cornbread mix
condensed cream of celery soup,8,8,0.00014619,1.0,condensed cream of celery soup | condensed cream of celery soup | condensed cream of celery soup | condensed cream of celery soup | condensed cream of celery soup
plus 1 tablespoon olive oil,8,8,0.00014619,1.0,plus 1 tablespoon olive oil | plus 1 tablespoon olive oil | plus 1 tablespoon olive oil | plus 1 tablespoon olive oil | plus 1 tablespoon olive oil
light rum,8,8,0.00014619,1.0,light rum | light rum | light rum | light rum | light rum
packet taco seasoning mix,8,8,0.00014619,1.0,packet taco seasoning mix | packet taco seasoning mix | packet taco seasoning mix | packet taco seasoning mix | packet taco seasoning mix
parmesan rind,8,8,0.00014619,1.0,parmesan rind | parmesan rind | parmesan rind | parmesan rind | parmesan rind
pam cooking spray,8,8,0.00014619,1.0,pam cooking spray | pam cooking spray | pam cooking spray | pam cooking spray | pam cooking spray
fillet red snapper,8,8,0.00014619,1.0,fillet red snapper | fillet red snapper | fillet red snapper | fillet red snapper | fillet red snapper
ham hock,8,8,0.00014619,1.0,ham hock | ham hock | ham hock | ham hock | ham hock
tl thymian,8,8,0.00014619,1.0,tl thymian | tl thymian | tl thymian | tl thymian | tl thymian
t cumin,8,8,0.00014619,1.0,t cumin | t cumin | t cumin | t cumin | t cumin
red bean paste,8,8,0.00014619,1.0,red bean paste | red bean paste | red bean paste | red bean paste | red bean paste
t garam masala,8,8,0.00014619,1.0,t garam masala | t garam masala | t garam masala | t garam masala | t garam masala
sashimi grade tuna,8,8,0.00014619,1.0,sashimi grade tuna | sashimi grade tuna | sashimi grade tuna | sashimi grade tuna | sashimi grade tuna
green peppers,8,8,0.00014619,1.0,green peppers | green peppers | green peppers | green peppers | green peppers
sun tomato pesto,8,8,0.00014619,1.0,sun tomato pesto | sun tomato pesto | sun tomato pesto | sun tomato pesto | sun tomato pesto
nutritional yeast flakes,8,8,0.00014619,1.0,nutritional yeast flakes | nutritional yeast flakes | nutritional yeast flakes | nutritional yeast flakes | nutritional yeast flakes
toppings,8,8,0.00014619,1.0,toppings | toppings | toppings | toppings | toppings
cooking oil spray,8,8,0.00014619,1.0,cooking oil spray | cooking oil spray | cooking oil spray | cooking oil spray | cooking oil spray
halloumi,8,8,0.00014619,1.0,halloumi | halloumi | halloumi | halloumi | halloumi
cranberry juice cocktail,8,8,0.00014619,1.0,cranberry juice cocktail | cranberry juice cocktail | cranberry juice cocktail | cranberry juice cocktail | cranberry juice cocktail
liquor,8,8,0.00014619,1.0,liquor | liquor | liquor | liquor | liquor
tbs canola oil,8,8,0.00014619,1.0,tbs canola oil | tbs canola oil | tbs canola oil | tbs canola oil | tbs canola oil
plum,8,8,0.00014619,1.0,plum | plum | plum | plum | plum
t tomato paste,8,8,0.00014619,1.0,t tomato paste | t tomato paste | t tomato paste | t tomato paste | t tomato paste
size onion,8,8,0.00014619,1.0,size onion | size onion | size onion | size onion | size onion
matzo meal,8,8,0.00014619,1.0,matzo meal | matzo meal | matzo meal | matzo meal | matzo meal
l gemusebruhe,8,8,0.00014619,1.0,l gemusebruhe | l gemusebruhe | l gemusebruhe | l gemusebruhe | l gemusebruhe
free range chickens,8,8,0.00014619,1.0,free range chickens | free range chickens | free range chickens | free range chickens | free range chickens
ladyfinger cookies,8,8,0.00014619,1.0,ladyfinger cookies | ladyfinger cookies | ladyfinger cookies | ladyfinger cookies | ladyfinger cookies
ripe pears,8,8,0.00014619,1.0,ripe pears | ripe pears | ripe pears | ripe pears | ripe pears
melon,8,8,0.00014619,1.0,melon | melon | melon | melon | melon
oat bran,8,8,0.00014619,1.0,oat bran | oat bran | oat bran | oat bran | oat bran
