left,right,support_left,support_right,cooccurrence,p_right_given_left,p_left_given_right,jaccard,lift
butter,shallots,9765,2528,507,0.05192012,0.2005538,0.04301714,1.24357731
carrot,vegetable oil,4669,5198,507,0.10858856,0.09753751,0.05416667,1.26491679
garlic,worcestershire sauce,24801,1109,507,0.02044272,0.45716862,0.01995827,1.11614693
chili powder,coriander powder,4698,666,506,0.10770541,0.75975976,0.10415809,9.79213569
cinnamon,sugar,1634,9681,505,0.30905753,0.05216403,0.046716,1.93300623
basil,pasta,2827,2765,504,0.17828086,0.18227848,0.0990566,3.90412523
chili powder,sour cream,4698,2201,503,0.10706684,0.22853249,0.0786429,2.94543252
ginger,green chilies,7018,1520,503,0.07167284,0.33092105,0.06260112,2.85512535
green bell pepper,olive oil,1301,18893,503,0.38662567,0.02662362,0.02554467,1.23909302
onion,red pepper flakes,12300,2319,503,0.04089431,0.21690384,0.03563332,1.06776645
cucumber,tomato,1907,7169,502,0.26324069,0.07002371,0.0585491,2.22335387
milk,vanilla extract,3433,2397,502,0.14622779,0.20942845,0.09421922,3.69382254
coriander,onion,1151,12300,499,0.43353606,0.04056911,0.03852687,2.13419579
fish sauce,lime,2182,3146,499,0.22868928,0.15861411,0.10333402,4.40150529
pepper,red onion,22147,1162,499,0.02253127,0.42943201,0.02187637,1.1740691
garlic,hoisin sauce,24801,705,498,0.02007984,0.70638298,0.01991363,1.72458729
ginger,red chili peppers,7018,1212,498,0.07096039,0.41089109,0.06440766,3.54509197
garam masala,green chilies,2179,1520,497,0.22808628,0.32697368,0.15521549,9.08593693
garlic,red onion,24801,1162,497,0.02003951,0.42771084,0.01951622,1.04422772
garlic powder,onion,2686,12300,496,0.18466121,0.0403252,0.0342305,0.90904358
ketchup,salt,858,34455,496,0.57808858,0.01439559,0.01424591,1.01591245
mint,pepper,1236,22147,496,0.4012945,0.02239581,0.02167169,1.09714101
mushroom,pepper,1247,22147,495,0.39695269,0.02235066,0.02161666,1.08527047
basil,egg,2827,11145,494,0.17474354,0.04432481,0.03665232,0.94936937
sugar,tomato,9681,7169,493,0.05092449,0.06876831,0.03014,0.4301127
tomato,tomato paste,7169,1708,493,0.06876831,0.28864169,0.05880248,2.43789289
canola oil,green onion,1935,8103,492,0.25426357,0.06071825,0.05153991,1.89999493
cheese,red wine vinegar,15753,1419,492,0.03123215,0.34672304,0.0294964,1.33270363
coconut milk,fish sauce,1735,2182,492,0.28357349,0.22548121,0.14364964,7.86909928
olive oil,tomato sauce,18893,1168,492,0.02604139,0.42123288,0.02514181,1.35000533
garlic,garlic powder,24801,2686,491,0.01979759,0.1827997,0.01818788,0.44629337
garlic,low sodium soy sauce,24801,730,491,0.01979759,0.67260274,0.01960863,1.64211507
milk,onion,3433,12300,491,0.14302359,0.0399187,0.03221362,0.70407143
corn,salt,896,34455,490,0.546875,0.01422145,0.01405582,0.96105881
lime,tomato,3146,7169,490,0.15575334,0.06834984,0.04987277,1.31550629
lime juice,tomato,3816,7169,490,0.12840671,0.06834984,0.0466889,1.08453427
balsamic vinegar,garlic,1017,24801,488,0.47984267,0.01967663,0.01926569,1.17150413
brown sugar,flour,2788,8057,488,0.17503587,0.06056845,0.04711789,1.31543029
cheese,cherry tomatoes,15753,1076,488,0.03097823,0.4535316,0.02986353,1.74324499
cilantro,rice vinegar,9781,2142,488,0.04989265,0.22782446,0.04267599,1.4103641
lime wedges,salt,882,34455,488,0.55328798,0.0141634,0.01400327,0.97232876
cheese,lemon,15753,2264,487,0.03091475,0.21510601,0.02778095,0.82680561
cilantro,corn,9781,896,487,0.04979041,0.54352679,0.04779195,3.36474255
sesame oil,vegetable oil,2978,5198,487,0.16353257,0.09368988,0.06333724,1.90494368
garlic,heavy cream,24801,1729,485,0.01955566,0.28050896,0.01862162,0.68484407
ground cinnamon,sugar,1606,9681,485,0.30199253,0.05009813,0.04489909,1.88881805
baking soda,butter,1065,9765,484,0.45446009,0.04956477,0.04678136,2.81797836
fish sauce,sugar,2182,9681,484,0.22181485,0.04999484,0.04253449,1.38734522
jalapeno chilies,tomato,1861,7169,484,0.26007523,0.0675129,0.05663468,2.19661809
corn starch,rice vinegar,2573,2142,483,0.18771862,0.2254902,0.11413043,5.30642494
flour,ground cinnamon,8057,1606,482,0.05982376,0.30012453,0.05249973,2.25549714
cilantro,sesame oil,9781,2978,481,0.04917698,0.1615178,0.03917576,0.9998878
coconut oil,garlic,870,24801,481,0.55287356,0.01939438,0.01909488,1.34980421
honey,water,2977,8805,481,0.16157205,0.05462805,0.04256261,1.11109458
carrot,rice vinegar,4669,2142,480,0.10280574,0.22408964,0.07581741,2.90610997
chili powder,green onion,4698,8103,480,0.10217114,0.05923732,0.03895788,0.76347801
cilantro,peanuts,9781,1024,480,0.04907474,0.46875,0.0464891,2.90183136
green onion,red pepper flakes,8103,2319,480,0.05923732,0.20698577,0.04828002,1.54670966
chicken,coconut milk,7796,1735,478,0.06131349,0.27550432,0.05280018,2.13978794
garlic,vegetable broth,24801,631,478,0.01927342,0.75752773,0.01915525,1.84945382
ginger,red bell pepper,7018,2893,478,0.06811057,0.16522641,0.05067317,1.42554275
oregano,thyme,4074,2373,478,0.11732941,0.20143279,0.08008042,2.99380343
pepper,spinach,22147,1122,478,0.02158306,0.42602496,0.02097319,1.16475419
oregano,water,4074,8805,477,0.11708395,0.05417376,0.03846154,0.80515991
baking powder,baking soda,1637,1065,476,0.29077581,0.44694836,0.21383648,16.53190165
black beans,onion,1555,12300,476,0.30610932,0.03869919,0.03557814,1.50690403
cooking spray,flour,2025,8057,476,0.23506173,0.05907906,0.04955236,1.76653688
cheese,red pepper,15753,1751,475,0.03015299,0.27127356,0.02789359,1.04269751
mint,olive oil,1236,18893,475,0.38430421,0.02514159,0.02416811,1.23165298
mustard seeds,salt,583,34455,475,0.81475129,0.0137861,0.01374302,1.43181513
salsa,sour cream,1352,2201,475,0.35133136,0.215811,0.15432099,9.66520396
cheese,corn,15753,896,473,0.03002603,0.52790179,0.02924085,2.02910259
cheese,lime juice,15753,3816,473,0.03002603,0.12395178,0.02476959,0.47643499
green chilies,ground turmeric,1520,1864,472,0.31052632,0.25321888,0.16208791,10.08710752
capers,olive oil,612,18893,471,0.76960784,0.02492987,0.02474519,2.46650902
flour,whole milk,8057,1012,471,0.05845848,0.46541502,0.05478018,3.4976889
garlic paste,salt,543,34455,471,0.86740331,0.01367,0.0136415,1.52434395
brown sugar,cilantro,2788,9781,470,0.16857963,0.04805235,0.03884619,1.04360458
butter,egg yolks,9765,1025,469,0.04802867,0.45756098,0.04544133,2.83720605
coriander seeds,salt,625,34455,469,0.7504,0.01361196,0.01355061,1.31872645
garlic,sesame seeds,24801,997,469,0.01891053,0.47041123,0.01851633,1.14847789
oregano,purple onion,4074,2637,469,0.11512027,0.17785362,0.07513617,2.64335709
cooking spray,egg,2025,11145,468,0.23111111,0.04199192,0.03684459,1.25561039
black beans,tomato,1555,7169,467,0.30032154,0.06514158,0.05655807,2.53654198
jalapeno chilies,onion,1861,12300,467,0.25094035,0.03796748,0.03410253,1.2353202
canola oil,ginger,1935,7018,466,0.24082687,0.06640068,0.05490751,2.07780952
cilantro,shrimp,9781,1739,466,0.04764339,0.2679701,0.04215669,1.6588886
cayenne,salt,598,34455,465,0.77759197,0.01349586,0.01344397,1.36651267
butter,pasta,9765,2765,464,0.04751664,0.16781193,0.03845516,1.04055429
carrot,red bell pepper,4669,2893,464,0.09937888,0.16038714,0.06537053,2.07998317
chicken,panko breadcrumbs,7796,2274,464,0.0595177,0.20404573,0.04830314,1.58478312
flour,thyme,8057,2373,464,0.05758967,0.19553308,0.0465583,1.46947102
green onion,peanuts,8103,1024,463,0.05713933,0.45214844,0.05343952,3.37869775
cheese,dijon mustard,15753,1746,462,0.02932775,0.26460481,0.02711745,1.01706477
cheese,shallots,15753,2528,462,0.02932775,0.18275316,0.02592738,0.70245059
green onion,lemon juice,8103,4935,462,0.05701592,0.09361702,0.03673664,0.69955703
plum tomatoes,salt,701,34455,462,0.65905849,0.01340879,0.01331642,1.15820611
ghee,salt,559,34455,461,0.82468694,0.01337977,0.01334182,1.4492757
chicken broth,cilantro,1942,9781,460,0.23686921,0.04702996,0.04084169,1.46635625
garlic,plum tomatoes,24801,701,459,0.01850732,0.65477889,0.01832848,1.59859932
green onion,sriracha,8103,929,459,0.05664569,0.49407966,0.05354018,3.6920305
salt,sesame seeds,34455,997,459,0.01332172,0.46038114,0.01311691,0.80905756
basil,parsley,2827,3492,458,0.1620092,0.13115693,0.07814366,2.80918009
avocado,green onion,2466,8103,457,0.18532036,0.05639886,0.04519383,1.38481397
beef,water,2489,8805,457,0.18360787,0.05190233,0.04217034,1.26262996
coriander powder,onion,666,12300,457,0.68618619,0.03715447,0.0365337,3.37793281
dill,olive oil,879,18893,457,0.51990899,0.02418885,0.02366037,1.66625148
chili powder,vegetable oil,4698,5198,456,0.09706258,0.08772605,0.04830508,1.13065395
fish sauce,pepper,2182,22147,456,0.20898258,0.0205897,0.01910108,0.57135935
avocado,black beans,2466,1555,455,0.18450933,0.2926045,0.12759394,7.18459147
chicken,sour cream,7796,2201,455,0.05836326,0.20672422,0.04768392,1.60558636
lime juice,soy sauce,3816,5367,455,0.1192348,0.08477734,0.05213107,1.34519605
oregano,pasta,4074,2765,455,0.11168385,0.16455696,0.07127193,2.44573492
tomato,yellow onion,7169,2303,454,0.06332822,0.19713417,0.05034376,1.66501244
cilantro,honey,9781,2977,453,0.04631428,0.15216661,0.0368143,0.9419986
garlic,light soy sauce,24801,784,453,0.01826539,0.57780612,0.01802483,1.4106754
green bell pepper,red bell pepper,1301,2893,453,0.3481937,0.15658486,0.12109062,7.28763511
granulated sugar,vanilla extract,1732,2397,452,0.26096998,0.18856904,0.1229263,6.59229541
egg,sesame oil,11145,2978,451,0.04046658,0.15144392,0.03298713,0.82278416
ground turmeric,water,1864,8805,450,0.24141631,0.05110733,0.04403562,1.66016553
hot sauce,salt,739,34455,450,0.60893099,0.01306051,0.01295188,1.07011381
avocado,jalapeno chilies,2466,1861,449,0.18207624,0.24126814,0.11578133,5.92408175
cilantro,garlic powder,9781,2686,448,0.04580309,0.16679077,0.03727432,1.03253051
cayenne pepper,ground cumin,1890,4111,447,0.23650794,0.10873267,0.08048254,3.48347253
garlic,mayonnaise,24801,1751,447,0.01802347,0.2552827,0.01712316,0.6232558
mushroom,olive oil,1247,18893,447,0.3584603,0.02365956,0.02269842,1.1488261
mushroom,onion,1247,12300,447,0.3584603,0.03634146,0.03412214,1.76461557
olive oil,spinach,18893,1122,447,0.02365956,0.39839572,0.02284342,1.27681474
cauliflower,salt,629,34455,445,0.70747218,0.0129154,0.01284679,1.24328662
fish sauce,soy sauce,2182,5367,444,0.20348304,0.08272778,0.0624912,2.29567696
ground cinnamon,vanilla extract,1606,2397,444,0.27646326,0.18523154,0.12475414,6.98366732
red bell pepper,water,2893,8805,444,0.1534739,0.05042589,0.03945264,1.05540543
carrot,lime juice,4669,3816,442,0.09466695,0.11582809,0.05495462,1.50211844
chicken,purple onion,7796,2637,442,0.05669574,0.16761471,0.04423982,1.30183054
oyster sauce,soy sauce,891,5367,441,0.49494949,0.08216881,0.07581227,5.58397464
olive oil,white wine vinegar,18893,665,440,0.02328905,0.66165414,0.02301496,2.12052919
baking powder,vanilla extract,1637,2397,439,0.26817349,0.1831456,0.12211405,6.77426145
green onion,pork,8103,1109,438,0.05405405,0.39495041,0.04992022,2.95128311
salt,white sugar,34455,894,438,0.01271223,0.48993289,0.01254619,0.86099075
coriander,ginger,1151,7018,437,0.37966985,0.06226845,0.05651837,3.27572094
pepper,white onion,22147,1149,437,0.01973179,0.38033072,0.0191172,1.03982595
sesame seeds,soy sauce,997,5367,437,0.43831494,0.08142351,0.07373039,4.94502886
avocado,onion,2466,12300,436,0.17680454,0.03544715,0.03042568,0.87036707
black olives,cheese,595,15753,436,0.73277311,0.02767727,0.0274007,2.81656902
green onion,sesame seeds,8103,997,436,0.05380723,0.43731194,0.05032318,3.26783139
ground red pepper,salt,539,34455,436,0.80890538,0.01265419,0.01261647,1.42154174
onion,peas,12300,961,436,0.03544715,0.45369407,0.0339961,2.23342893
cheese,heavy cream,15753,1729,435,0.02761379,0.25159051,0.02551769,0.96704156
cucumber,lemon juice,1907,4935,435,0.22810697,0.0881459,0.06789449,2.79875933
milk,olive oil,3433,18893,435,0.12671133,0.0230244,0.01987118,0.40609597
ginger,lemon juice,7018,4935,434,0.06184098,0.08794326,0.03767688,0.75875813
sake,soy sauce,668,5367,434,0.6497006,0.08086454,0.07748616,7.32986235
coriander powder,garam masala,666,2179,433,0.65015015,0.19871501,0.17951907,18.06635686
dill,garlic,879,24801,433,0.49260523,0.01745897,0.01715055,1.20266307
garlic,ginger root,24801,608,432,0.01741865,0.71052632,0.01729591,1.73470297
lime juice,vegetable oil,3816,5198,432,0.11320755,0.08310889,0.05033792,1.318722
black beans,ground cumin,1555,4111,431,0.27717042,0.10484067,0.08233047,4.08238113
butter,dry white wine,9765,1165,430,0.04403482,0.36909871,0.04095238,2.2886766
butter,vegetable oil,9765,5198,430,0.04403482,0.08272412,0.02958783,0.51294887
onion,zucchini,12300,1537,430,0.03495935,0.27976578,0.0320728,1.37722096
red bell pepper,tomato,2893,7169,430,0.14863464,0.05998047,0.04464286,1.25538111
cinnamon,milk,1634,3433,429,0.2625459,0.12496359,0.09249677,4.63068868
egg,garlic powder,11145,2686,429,0.0384926,0.15971705,0.03201015,0.86773149
green onion,ground cumin,8103,4111,429,0.05294335,0.10435417,0.03640221,0.77979083
ground nutmeg,salt,631,34455,429,0.67987322,0.01245102,0.01237845,1.19478518
pepper,plain greek yogurt,22147,1166,429,0.01937057,0.36792453,0.01874672,1.00590735
salt,spanish onion,34455,603,428,0.012422,0.70978441,0.01235923,1.24735005
tomato,turmeric,7169,1222,428,0.05970149,0.3502455,0.05374859,2.95820407
butter,green onion,9765,8103,427,0.0437276,0.05269653,0.02448254,0.32675627
fennel seeds,salt,571,34455,426,0.74605954,0.01236395,0.01231214,1.31109869
pasta,tomato,2765,7169,426,0.15406872,0.05942251,0.04480438,1.30127783
curry powder,onion,1003,12300,425,0.42372881,0.03455285,0.03300202,2.08591705
roma tomatoes,salt,594,34455,425,0.71548822,0.01233493,0.01227472,1.25737372
cumin seed,oil,1361,3310,424,0.31153564,0.12809668,0.09983518,5.69893738
onion,rice,12300,1164,424,0.03447154,0.36426117,0.03251534,1.79317185
chives,olive oil,1042,18893,423,0.4059501,0.02238924,0.02167897,1.30102569
cilantro,turmeric,9781,1222,423,0.04324711,0.34615385,0.0399811,2.14289085
peanut oil,salt,930,34455,423,0.45483871,0.01227688,0.01209885,0.79931748
chicken,red pepper flakes,7796,2319,422,0.05413032,0.18197499,0.04353657,1.41336398
salt,white wine vinegar,34455,665,422,0.01224786,0.63458647,0.01216208,1.11519984
avocado,sour cream,2466,2201,421,0.17072182,0.19127669,0.09915214,4.69659518
chicken,lemon,7796,2264,421,0.05400205,0.18595406,0.04367673,1.44426867
chickpeas,olive oil,773,18893,421,0.54463131,0.02228339,0.02187581,1.74548381
cilantro,flour tortillas,9781,1044,421,0.04304263,0.4032567,0.04046521,2.4963903
cilantro,shallots,9781,2528,421,0.04304263,0.16653481,0.03541386,1.03094599
flour tortillas,salt,1044,34455,421,0.4032567,0.01221884,0.01200182,0.70866909
garlic,white wine,24801,609,421,0.01697512,0.69129721,0.01684741,1.68775638
nutmeg,salt,649,34455,421,0.64869029,0.01221884,0.01213851,1.13998541
carrot,flour,4669,8057,419,0.08974084,0.05200447,0.03404567,0.67442076
green onion,low sodium soy sauce,8103,730,419,0.05170924,0.5739726,0.04979796,4.28903383
salt,sweet potatoes,34455,659,419,0.01216079,0.63581184,0.01207667,1.11735326
chicken,cumin,7796,1942,418,0.05361724,0.21524202,0.04484979,1.67174246
chicken,paprika,7796,1778,418,0.05361724,0.23509561,0.04565312,1.82594143
green onion,sour cream,8103,2201,418,0.05158583,0.18991368,0.04228201,1.41913773
red bell pepper,soy sauce,2893,5367,418,0.14448669,0.07788336,0.05330273,1.63008556
bell pepper,garlic,699,24801,417,0.59656652,0.01681384,0.01662481,1.45647768
garlic,low sodium chicken broth,24801,654,416,0.01677352,0.63608563,0.01661408,1.55296096
light brown sugar,salt,751,34455,416,0.5539281,0.01207372,0.01195746,0.97345367
coconut milk,pepper,1735,22147,415,0.23919308,0.01873843,0.01768441,0.65395499
garlic,green beans,24801,781,415,0.0167332,0.53137004,0.01648985,1.29730478
green onion,peanut oil,8103,930,415,0.0512156,0.44623656,0.04815502,3.334521
avocado,ground cumin,2466,4111,414,0.16788321,0.10070542,0.06717508,2.4727143
green onion,mirin,8103,1013,414,0.05109219,0.40868707,0.04757527,3.05393089
orange juice,salt,796,34455,414,0.5201005,0.01201567,0.01188392,0.91400625
flour,heavy cream,8057,1729,413,0.05125977,0.2388664,0.04406273,1.79512974
ground cumin,lemon juice,4111,4935,413,0.10046217,0.08368794,0.04783968,1.23262101
lime juice,red bell pepper,3816,2893,413,0.10822851,0.14275838,0.0655972,2.26520442
brown sugar,fish sauce,2788,2182,412,0.14777618,0.1888176,0.09039052,4.10075523
ketchup,pepper,858,22147,412,0.48018648,0.01860297,0.01823574,1.31283205
oregano,red pepper flakes,4074,2319,411,0.10088365,0.17723157,0.06870612,2.63411175
pork,soy sauce,1109,5367,411,0.37060415,0.07657909,0.06776587,4.18112188
bell pepper,salt,699,34455,410,0.58655222,0.01189958,0.0118006,1.03078615
apple cider vinegar,salt,578,34455,409,0.70761246,0.01187056,0.01181262,1.24353314
egg,honey,11145,2977,409,0.03669807,0.13738663,0.02982571,0.74641189
beansprouts,garlic,637,24801,408,0.64050235,0.01645095,0.01630044,1.56374411
cooking spray,sugar,2025,9681,408,0.20148148,0.04214441,0.03611259,1.26016979
bacon,salt,802,34455,407,0.5074813,0.01181251,0.01167862,0.89182971
soy sauce,sriracha,5367,929,407,0.0758338,0.43810549,0.0691119,4.94266581
butter,lemon,9765,2264,406,0.04157706,0.17932862,0.03493074,1.11196601
cilantro,red pepper flakes,9781,2319,406,0.04150905,0.17507546,0.03471866,1.08381754
parsley,water,3492,8805,406,0.11626575,0.04611016,0.03414347,0.79953335
garlic,lemongrass,24801,645,405,0.01632999,0.62790698,0.01617348,1.53299332
oregano,red wine vinegar,4074,1419,405,0.0994109,0.28541226,0.07959906,4.24195201
cilantro,flour,9781,8057,404,0.04130457,0.05014273,0.02317311,0.31041228
garlic,salsa,24801,1352,404,0.01628967,0.29881657,0.01568993,0.72954087
ground cumin,lime,4111,3146,404,0.09827293,0.12841704,0.05895228,1.89142584
salt,yoghurt,34455,506,403,0.01169642,0.79644269,0.01166155,1.39964025
low sodium chicken broth,salt,654,34455,402,0.6146789,0.01166739,0.01158268,1.08021499
corn tortillas,olive oil,1253,18893,401,0.32003192,0.02122479,0.02030894,1.02566734
ginger,mirin,7018,1013,401,0.05713879,0.3958539,0.0525557,3.41535389
ground turmeric,pepper,1864,22147,401,0.21512876,0.01810629,0.01698433,0.58816301
garlic,spring onions,24801,752,400,0.01612838,0.53191489,0.01590268,1.29863501
ginger,peanut oil,7018,930,400,0.0569963,0.43010753,0.05299417,3.71088782
green beans,salt,781,34455,400,0.51216389,0.01160935,0.01148237,0.90005873
oyster sauce,pepper,891,22147,400,0.44893378,0.01806114,0.01766941,1.22738703
dry white wine,onion,1165,12300,399,0.34248927,0.03243902,0.03053727,1.68599393
onion,worcestershire sauce,12300,1109,399,0.03243902,0.35978359,0.03066872,1.77112978
butter,chili powder,9765,4698,398,0.04075781,0.0847169,0.02829719,0.52530551
cheese,green bell pepper,15753,1301,398,0.02526503,0.30591852,0.02389529,1.1758628
mirin,sake,1013,668,398,0.3928924,0.59580838,0.31021044,35.61322567
olive oil,potato,18893,1260,398,0.021066,0.31587302,0.0201468,1.01233849
olive oil,white wine,18893,609,398,0.021066,0.65353038,0.02083333,2.09449343
parsley,pasta,3492,2765,398,0.1139748,0.14394213,0.06792968,2.49590384
pepper,white wine vinegar,22147,665,398,0.01797083,0.59849624,0.01775676,1.63629148
salt,sweet onion,34455,594,398,0.0115513,0.67003367,0.01148596,1.17749351
brown sugar,onion,2788,12300,397,0.14239598,0.03227642,0.02702335,0.70098185
ginger,shallots,7018,2528,397,0.05656882,0.15704114,0.04339272,1.35492177
peas,pepper,961,22147,397,0.41311134,0.01792568,0.01748052,1.12944831
ginger,red pepper flakes,7018,2319,396,0.05642633,0.17076326,0.04429035,1.47331368
coarse salt,garlic,1126,24801,395,0.35079929,0.01592678,0.01547078,0.85645325
corn starch,oil,2573,3310,395,0.15351729,0.11933535,0.07197522,2.80829976
dark soy sauce,garlic,622,24801,395,0.63504823,0.01592678,0.01578232,1.55042823
jalapeno chilies,lime juice,1861,3816,395,0.21225148,0.10351153,0.07478228,3.36787919
cheese,mushroom,15753,1247,393,0.02494763,0.31515638,0.02366472,1.21137044
ground cumin,paprika,4111,1778,393,0.09559718,0.22103487,0.07150655,3.2555732
lime,purple onion,3146,2637,393,0.12492053,0.14903299,0.0729128,2.86838769
butter,carrot,9765,4669,392,0.04014337,0.08395802,0.02791625,0.52059992
dijon mustard,lemon juice,1746,4935,392,0.22451317,0.07943262,0.06233105,2.75466517
fish sauce,vegetable oil,2182,5198,392,0.1796517,0.07541362,0.05609616,2.09271069
plain yogurt,salt,560,34455,392,0.7,0.01137716,0.01132195,1.23015527
rice vinegar,vegetable oil,2142,5198,392,0.18300654,0.07541362,0.05641911,2.13179026
salt,vegetable broth,34455,631,392,0.01137716,0.62123613,0.01129878,1.09173844
cinnamon sticks,salt,580,34455,391,0.67413793,0.01134814,0.01128623,1.18470619
milk,vanilla,3433,1041,391,0.11389455,0.37560038,0.09576292,6.62470238
green onion,oyster sauce,8103,891,390,0.04813032,0.43771044,0.04532775,3.27080921
cheese,dry white wine,15753,1165,389,0.02469371,0.33390558,0.02353439,1.28343699
olive oil,plum tomatoes,18893,701,389,0.02058964,0.55492154,0.02025514,1.77846289
brown sugar,olive oil,2788,18893,388,0.13916786,0.02053671,0.01822195,0.44601779
butter,egg whites,9765,1346,388,0.03973374,0.28826152,0.0361839,1.78742804
cayenne pepper,cheese,1890,15753,388,0.20529101,0.02463023,0.02248624,0.78907956
quinoa,salt,610,34455,388,0.63606557,0.01126107,0.01118897,1.11779917
garlic,shaoxing wine,24801,632,387,0.01560421,0.61234177,0.01545157,1.49499191
lime,water,3146,8805,387,0.12301335,0.0439523,0.03346593,0.84593508
fish sauce,water,2182,8805,386,0.17690192,0.04383873,0.03641166,1.21651466
mirin,sugar,1013,9681,386,0.3810464,0.03987191,0.03744664,2.38326199
carrot,fish sauce,4669,2182,384,0.08224459,0.17598533,0.05937838,2.28226858
flat leaf parsley,onion,1635,12300,384,0.23486239,0.03121951,0.02833739,1.15617215
hoisin sauce,soy sauce,705,5367,384,0.54468085,0.07154835,0.06751055,6.14503923
chicken stock,ginger,1705,7018,383,0.22463343,0.05457395,0.04592326,1.9380955
cilantro,cucumber,9781,1907,383,0.03915755,0.20083901,0.03387881,1.24330869
garlic,ground ginger,24801,890,383,0.01544293,0.43033708,0.01513355,1.05063949
lime juice,purple onion,3816,2637,383,0.10036688,0.1452408,0.0630972,2.30459399
oyster sauce,sugar,891,9681,383,0.4298541,0.03956203,0.03758956,2.68853068
salt,sriracha,34455,929,383,0.01111595,0.41227126,0.01094254,0.72451095
lemon juice,purple onion,4935,2637,382,0.07740628,0.14486159,0.05312935,1.77737973
oyster sauce,sesame oil,891,2978,382,0.42873176,0.12827401,0.10954976,8.71716192
pasta,red pepper flakes,2765,2319,382,0.13815552,0.16472618,0.08124202,3.60729472
pepper,rice,22147,1164,382,0.01724839,0.32817869,0.01666012,0.89724206
canola oil,chicken,1935,7796,381,0.19689922,0.04887122,0.04074866,1.52927759
flour,ginger,8057,7018,381,0.04728807,0.05428897,0.02592895,0.4079927
lemon,onion,2264,12300,381,0.16828622,0.03097561,0.02686315,0.82843338
almonds,salt,650,34455,380,0.58461538,0.01102888,0.01094312,1.02738243
bacon,pepper,802,22147,380,0.47381546,0.01715808,0.01683725,1.29541365
chicken,yellow onion,7796,2303,380,0.04874295,0.16500217,0.03909867,1.28153944
garam masala,ground coriander,2179,1319,380,0.17439192,0.28809704,0.121873,8.00563376
salt,white wine,34455,609,380,0.01102888,0.62397373,0.01095606,1.09654939
black beans,salsa,1555,1352,379,0.2437299,0.28032544,0.14992089,10.91556632
chinese five spice powder,garlic,663,24801,379,0.57164404,0.01528164,0.01510863,1.39563109
chili powder,flour,4698,8057,378,0.08045977,0.04691573,0.03054052,0.6046716
corn tortillas,pepper,1253,22147,378,0.30167598,0.01706777,0.01641908,0.82478351
cilantro,mint,9781,1236,377,0.03854412,0.30501618,0.03543233,1.88822511
fish sauce,shallots,2182,2528,377,0.17277727,0.14912975,0.08700669,4.1383163
honey,sesame oil,2977,2978,377,0.12663755,0.12659503,0.06758695,2.57485021
lemon zest,olive oil,808,18893,377,0.46658416,0.01995448,0.01950942,1.49535123
tomato paste,water,1708,8805,377,0.220726,0.04281658,0.03719416,1.51788291
coriander powder,ground turmeric,666,1864,376,0.56456456,0.20171674,0.17455896,18.33926201
coriander seeds,garlic,625,24801,376,0.6016,0.01516068,0.01500998,1.46876658
avocado,purple onion,2466,2637,375,0.15206813,0.14220705,0.07931472,3.49174253
beansprouts,green onion,637,8103,375,0.58869702,0.04627916,0.04482965,4.39906262
cheese,onion powder,15753,1028,375,0.02380499,0.36478599,0.02285749,1.40213241
cheese,paprika,15753,1778,375,0.02380499,0.21091114,0.02185824,0.81068173
chicken stock,green onion,1705,8103,375,0.21994135,0.04627916,0.03975405,1.64352076
flour,vanilla,8057,1041,375,0.04654338,0.36023055,0.0429898,2.70720611
garlic paste,onion,543,12300,375,0.69060773,0.0304878,0.030077,3.39969905
green onion,hoisin sauce,8103,705,375,0.04627916,0.53191489,0.04446816,3.97475587
ground cumin,sour cream,4111,2201,375,0.09121868,0.1703771,0.06316321,2.50944624
carrot,lime,4669,3146,374,0.08010281,0.11888112,0.05026206,1.54171166
garlic,spanish onion,24801,603,374,0.01508004,0.62023217,0.01494207,1.5142558
ginger,low sodium soy sauce,7018,730,374,0.05329154,0.51232877,0.05071874,4.42027741
flour,warm water,8057,681,373,0.04629515,0.54772394,0.04459056,4.1162572
ginger,hoisin sauce,7018,705,373,0.05314905,0.52907801,0.0507483,4.5647868
capers,salt,612,34455,372,0.60784314,0.01079669,0.01072201,1.06820206
corn tortillas,onion,1253,12300,372,0.29688747,0.0302439,0.02822244,1.46150702
heavy cream,olive oil,1729,18893,372,0.21515327,0.01968983,0.01837037,0.68954271
salt,white vinegar,34455,557,372,0.01079669,0.66786355,0.01073903,1.17367982
cinnamon,garlic,1634,24801,371,0.22705018,0.01495907,0.01423419,0.554328
curry powder,ginger,1003,7018,371,0.36989033,0.05286406,0.04849673,3.19134503
lemon juice,lemon zest,4935,808,371,0.0751773,0.45915842,0.0690618,5.63364581
carrot,thyme,4669,2373,370,0.07924609,0.15592078,0.05545564,2.02206103
corn,garlic,896,24801,370,0.41294643,0.01491875,0.01460892,1.00818137
ground coriander,ground turmeric,1319,1864,370,0.28051554,0.19849785,0.13153217,9.11224038
ground coriander,tomato,1319,7169,370,0.28051554,0.0516111,0.04557773,2.36925876
beef,oregano,2489,4074,369,0.14825231,0.09057437,0.05957378,2.20340633
butter,cooking spray,9765,2025,369,0.03778802,0.18222222,0.0323089,1.1299084
canola oil,egg,1935,11145,369,0.19069767,0.03310902,0.02902997,1.03604703
capers,garlic,612,24801,369,0.60294118,0.01487843,0.01473407,1.47204098
cumin seed,green chilies,1361,1520,369,0.27112417,0.24276316,0.1468949,10.80037414
