target,support_total,prevalence,support_train,support_val,support_test,source_recipe_support_before_retention,retained_support_fraction,attributed_records,unattributed_records,distinct_raw_variants,top_raw_examples
chinese five spice powder,663,0.01094963,530,67,66,666,0.9954955,663,0,20,chinese five-spice powder | 1/4 teaspoon Chinese five-spice powder | 1 teaspoon Chinese five-spice powder | ¼ tsp Chinese five spice powder | ½ tsp Chinese five spice powder
sweet potatoes,659,0.01088357,528,66,65,664,0.99246988,659,0,169,sweet potatoes | 1 1/2 pounds sweet potatoes | 4 large sweet potatoes | 3 pounds sweet potatoes | 4 medium sweet potatoes
low sodium chicken broth,654,0.01080099,524,65,65,655,0.99847328,654,0,84,low sodium chicken broth | 4 cups low-sodium chicken broth | 1 cup low-sodium chicken broth | 1/2 cup low-sodium chicken broth | store bought low sodium chicken broth
almonds,650,0.01073493,520,65,65,672,0.9672619,650,0,88,almonds | sliced almonds | chopped almonds | 1/2 cup sliced almonds | 1/4 cup sliced almonds
nutmeg,649,0.01071841,518,65,66,650,0.99846154,649,0,62,nutmeg | grated nutmeg | 1/4 teaspoon nutmeg | 1/2 teaspoon nutmeg | Pinch of nutmeg
lemongrass,645,0.01065235,516,65,64,645,1.0,645,0,26,"lemongrass | 2 tablespoons lemongrass, chopped into chunks (if you can't find lemongrass, sub a long strip each of lemon peel and lime peel) | 2 pieces of lemongrass | 2 stalks fresh lemongrass, white parts only, minced | 2 teaspoons finely chopped peeled fresh lemongrass"
beansprouts,637,0.01052023,509,64,64,639,0.99687011,637,0,3,beansprouts | ¼ cup beansprouts | 300g beansprouts
shaoxing wine,632,0.01043765,504,64,64,633,0.99842022,632,0,25,Shaoxing wine | 1 tablespoon Shaoxing wine | 1 tbsp Shaoxing wine | 1 teaspoon Shaoxing wine | 1 tablespoon shaoxing wine
ground nutmeg,631,0.01042114,505,63,63,638,0.98902821,631,0,47,ground nutmeg | 1/4 teaspoon ground nutmeg | 1/8 teaspoon ground nutmeg | 1/2 teaspoon ground nutmeg | 1 teaspoon ground nutmeg
vegetable broth,631,0.01042114,504,63,64,635,0.99370079,631,0,63,vegetable broth | 2 cups vegetable broth | 4 cups vegetable broth | 1 cup vegetable broth | 1 1/2 cups vegetable broth
baby spinach,630,0.01040462,504,63,63,640,0.984375,630,0,160,baby spinach | 1 (6-ounce) package fresh baby spinach | 2 cups baby spinach | 10 ounces baby spinach | 5 ounces baby spinach
cauliflower,629,0.01038811,503,63,63,633,0.99368088,629,0,115,"cauliflower | head cauliflower | grated cauliflower | frozen cauliflower | 1 head cauliflower, cut into florets"
coriander seeds,625,0.01032205,499,63,63,626,0.99840256,625,0,67,coriander seeds | 1 teaspoon coriander seeds | 1 tablespoon coriander seeds | 2 teaspoons coriander seeds | 2 tablespoons coriander seeds
bread,623,0.01028902,497,63,63,634,0.98264984,623,0,33,"bread | sliced bread | cubed bread | 1 slice bread | bread, cut into italian loaf"
dark soy sauce,622,0.0102725,497,63,62,623,0.99839486,622,0,30,dark soy sauce | 2 tablespoons dark soy sauce | 1 tablespoon dark soy sauce | 1 teaspoon dark soy sauce | 1 tsp dark soy sauce
capers,612,0.01010735,488,62,62,617,0.99189627,612,0,177,"capers | 2 tablespoons capers | 1 tablespoon capers | 2 tablespoons drained capers | 1 tablespoon capers, drained"
lettuce,611,0.01009083,489,61,61,619,0.98707593,611,0,71,lettuce | shredded lettuce | 1 cup shredded lettuce | Lettuce | 2 cups shredded lettuce
quinoa,610,0.01007432,487,61,62,610,1.0,610,0,46,quinoa | cooked quinoa | 1 cup quinoa | 1 cup uncooked quinoa | 1/2 cup quinoa
toasted sesame oil,610,0.01007432,488,61,61,614,0.99348534,610,0,16,toasted sesame oil | 1 tablespoon toasted sesame oil | 1 teaspoon toasted sesame oil | 2 teaspoons toasted sesame oil | 1/2 teaspoon toasted sesame oil
curry leaves,609,0.0100578,486,62,61,609,1.0,609,0,82,curry leaves | fresh curry leaves | 10 curry leaves | 1 sprig curry leaves | 10 fresh curry leaves
white wine,609,0.0100578,487,61,61,615,0.9902439,609,0,79,white wine | 1/2 cup white wine | 1 cup white wine | 1/4 cup white wine | ½ cup white wine
ginger root,608,0.01004129,487,61,60,610,0.99672131,608,0,28,fresh ginger root | ginger root | 1 tablespoon minced fresh ginger root | 2 tablespoons minced fresh ginger root | 1 teaspoon minced fresh ginger root
spanish onion,603,0.00995871,481,61,61,604,0.99834437,603,0,2,"spanish onion | 1 medium Spanish onion, diced"
strawberry,603,0.00995871,481,61,61,667,0.90404798,603,0,94,strawberries | frozen strawberries | 1 cup sliced strawberries | 3 cups sliced strawberries | 2 cups sliced strawberries
french bread,600,0.00990917,480,60,60,609,0.98522167,600,0,43,"french bread | 6 slices French bread | 4 (1/2-ounce) slices French bread, toasted | 6 slices French bread, toasted | 8 (1/2-ounce) slices French bread"
cayenne,598,0.00987614,478,60,60,603,0.99170813,598,0,58,cayenne | 1/4 teaspoon cayenne | 1/2 teaspoon cayenne | 1/8 teaspoon cayenne | Pinch of cayenne
black olives,595,0.00982659,476,60,59,603,0.986733,595,0,100,"black olives | sliced black olives | 1/2 cup sliced black olives | 1 (2 ounce) can black olives, sliced | 1 (6 ounce) can sliced black olives"
roma tomatoes,594,0.00981007,474,60,60,600,0.99,594,0,129,"roma tomatoes | 2 roma tomatoes, seeded and diced | 2 roma (plum) tomatoes, diced | 2 roma tomatoes, chopped | 2 roma tomatoes, diced"
sweet onion,594,0.00981007,475,60,59,602,0.98671096,594,0,134,"sweet onion | 1 large sweet onion, chopped | 1 cup chopped sweet onion | 1 sweet onion, chopped | 1/2 cup finely chopped sweet onion"
cabbage,592,0.00977704,473,60,59,600,0.98666667,592,0,74,cabbage | shredded cabbage | 4 cups shredded cabbage | 3 cups shredded cabbage | 2 cups shredded cabbage
romaine lettuce,589,0.0097275,471,59,59,596,0.98825503,589,0,119,romaine lettuce | 2 cups shredded romaine lettuce | 1 cup shredded romaine lettuce | Romaine lettuce | 2 cups chopped romaine lettuce
mustard seeds,583,0.00962841,466,59,58,584,0.99828767,583,0,48,mustard seeds | 1 teaspoon mustard seeds | 1 tsp mustard seeds | 1/2 teaspoon mustard seeds | 1 tablespoon mustard seeds
cinnamon sticks,580,0.00957886,464,58,58,596,0.97315436,580,0,25,cinnamon sticks | 2 cinnamon sticks | 2 (3-inch) cinnamon sticks | 4 cinnamon sticks | 2 Cinnamon Sticks
apple cider vinegar,578,0.00954583,463,58,57,583,0.99142367,578,0,60,apple cider vinegar | 2 tablespoons apple cider vinegar | 1/4 cup apple cider vinegar | 1/2 cup apple cider vinegar | 3 tablespoons apple cider vinegar
fennel seeds,571,0.00943022,457,57,57,580,0.98448276,571,0,82,fennel seeds | 1 teaspoon fennel seeds | 1/2 teaspoon fennel seeds | 1 tsp fennel seeds | 2 teaspoons fennel seeds
plain yogurt,560,0.00924855,447,57,56,563,0.9946714,560,0,76,plain yogurt | 1 cup plain yogurt | 1/4 cup plain yogurt | 1/2 cup plain yogurt | 2 cups plain yogurt
ghee,559,0.00923204,448,56,55,574,0.9738676,559,0,61,"ghee | 1 TBSP ghee | 2 tablespoons ghee (clarified butter) | 1 tbsp ghee | 1 tbsp ghee, unsalted butter or dairy-free butter substitute (use butter substitute to keep vegan)"
sauce,558,0.00921552,446,56,56,568,0.98239437,558,0,9,sauce | Sauce: | Sauce | SAUCE: | sauce:
white vinegar,557,0.00919901,446,56,55,559,0.99642218,557,0,42,white vinegar | 2 tablespoons white vinegar | 1 tablespoon white vinegar | 3 tablespoons white vinegar | 1/4 cup white vinegar
eggplant,551,0.00909992,441,55,55,553,0.99638336,551,0,146,"eggplant | 1 large eggplant | 1 large eggplant (1 to 1 1/2 pounds) | 1 medium eggplant, diced | 1 (1-pound) eggplant"
mint leaves,550,0.0090834,440,55,55,567,0.97001764,550,0,153,mint leaves | 1/4 cup fresh mint leaves | Fresh mint leaves | 1 tablespoon chopped fresh mint leaves | 1 cup packed fresh mint leaves
green pepper,546,0.00901734,438,54,54,548,0.99635036,546,0,57,"green pepper | 1 medium green pepper, chopped | 1 cup chopped green pepper | 1 green pepper | 1 green pepper, sliced"
garlic paste,543,0.0089678,434,54,55,544,0.99816176,543,0,27,garlic paste | 1 tablespoon garlic paste | 1 teaspoon garlic paste | 1 tsp garlic paste | 1 tbsp garlic paste
ground red pepper,539,0.00890173,431,54,54,540,0.99814815,539,0,43,1/4 teaspoon ground red pepper | 1/8 teaspoon ground red pepper | ground red pepper | 1/2 teaspoon ground red pepper | Dash of ground red pepper
cider vinegar,537,0.0088687,430,53,54,542,0.99077491,537,0,59,cider vinegar | 2 tablespoons cider vinegar | 1 tablespoon cider vinegar | 1/4 cup cider vinegar | 1/2 cup cider vinegar
corn kernels,535,0.00883567,428,53,54,537,0.99627561,535,0,134,corn kernels | frozen corn kernels | 1 cup frozen corn kernels | 1 cup corn kernels | 1 cup fresh corn kernels
pecans,534,0.00881916,426,54,54,549,0.9726776,534,0,129,chopped pecans | pecans | 1/2 cup chopped pecans | 1 cup chopped pecans | 1/4 cup chopped pecans
buttermilk,531,0.00876961,424,53,54,539,0.9851577,531,0,74,buttermilk | 1 cup buttermilk | 1/2 cup buttermilk | 3/4 cup buttermilk | 2 cups buttermilk
mango,531,0.00876961,424,54,53,565,0.93982301,531,0,86,"mango | frozen mango | 1 mango, diced | 1 cup diced mango | cubed mango"
bananas,530,0.0087531,423,54,53,588,0.90136054,530,0,21,"bananas | 2 bananas, sliced | 2 bananas | 2 Bananas (Frozen) | sliced bananas"
thyme leaves,527,0.00870355,421,53,53,530,0.99433962,527,0,130,fresh thyme leaves | 1 tablespoon fresh thyme leaves | thyme leaves | 2 teaspoons fresh thyme leaves | dried thyme leaves
cooking oil,516,0.00852188,411,52,53,518,0.996139,516,0,23,cooking oil | 2 tablespoons cooking oil | 1/4 cup cooking oil | 2 teaspoons cooking oil | 1 teaspoon cooking oil
broccoli,515,0.00850537,412,52,51,531,0.96986817,515,0,62,broccoli | frozen broccoli | frozen chopped broccoli | 1 cup chopped broccoli | 2 heads broccoli
cold water,513,0.00847234,410,51,52,530,0.96792453,513,0,60,cold water | 2 tablespoons cold water | 3 tablespoons cold water | 1/2 cup cold water | 1 cup cold water
yoghurt,506,0.00835673,404,51,51,513,0.98635478,506,0,11,yoghurt | 1/2 cup yoghurt | 2 tbsp Yoghurt | 4 tablespoon yoghurt | ¾ cup yoghurt
peanut butter,499,0.00824112,398,51,50,513,0.97270955,499,0,19,peanut butter | unsalted peanut butter | 1/4 cup peanut butter | 3/4 cup peanut butter | 1 1/2 cups peanut butter
black peppercorns,496,0.00819158,396,50,50,502,0.98804781,496,0,65,black peppercorns | 1 tablespoon black peppercorns | 1 teaspoon black peppercorns | 6 black peppercorns | 10 black peppercorns
walnuts,495,0.00817506,395,50,50,508,0.97440945,495,0,136,"walnuts | chopped walnuts | 1/2 cup chopped walnuts | 1/4 cup chopped walnuts | 3 tablespoons chopped walnuts, toasted"
orange,476,0.00786127,380,48,48,507,0.93885602,476,0,44,"orange | grated orange | 1 orange, juiced | 1 orange | 1 medium orange, quartered"
blueberry,469,0.00774566,375,47,47,517,0.90715667,469,0,78,blueberries | fresh blueberries | frozen blueberries | 1 cup blueberries | 1 cup fresh blueberries
